prompt_id,trial,tool_selected,method_selected,full_response,expected_tool
spatial_domains,1,identify_spatial_domains,graphst,"{""tool_name"": ""identify_spatial_domains"", ""parameters"": {""method"": ""graphst""}}",identify_spatial_domains
spatial_domains,2,identify_spatial_domains,graphst,"{""tool_name"": ""identify_spatial_domains"", ""parameters"": {""method"": ""graphst""}}",identify_spatial_domains
spatial_domains,3,identify_spatial_domains,graphst,"{""tool_name"": ""identify_spatial_domains"", ""parameters"": {""method"": ""graphst""}}",identify_spatial_domains
spatial_domains,4,identify_spatial_domains,graphst,"{""tool_name"": ""identify_spatial_domains"", ""parameters"": {""method"": ""graphst""}}",identify_spatial_domains
spatial_domains,5,identify_spatial_domains,graphst,"{""tool_name"": ""identify_spatial_domains"", ""parameters"": {""method"": ""graphst""}}",identify_spatial_domains
spatial_domains,6,identify_spatial_domains,graphst,"{""tool_name"": ""identify_spatial_domains"", ""parameters"": {""method"": ""graphst""}}",identify_spatial_domains
spatial_domains,7,identify_spatial_domains,graphst,"{""tool_name"": ""identify_spatial_domains"", ""parameters"": {""method"": ""graphst""}}",identify_spatial_domains
spatial_domains,8,identify_spatial_domains,graphst,"{""tool_name"": ""identify_spatial_domains"", ""parameters"": {""method"": ""graphst""}}",identify_spatial_domains
spatial_domains,9,identify_spatial_domains,graphst,"{""tool_name"": ""identify_spatial_domains"", ""parameters"": {""method"": ""graphst""}}",identify_spatial_domains
spatial_domains,10,identify_spatial_domains,graphst,"{""tool_name"": ""identify_spatial_domains"", ""parameters"": {""method"": ""graphst""}}",identify_spatial_domains
spatial_domains,11,identify_spatial_domains,graphst,"{""tool_name"": ""identify_spatial_domains"", ""parameters"": {""method"": ""graphst""}}",identify_spatial_domains
spatial_domains,12,identify_spatial_domains,graphst,"{""tool_name"": ""identify_spatial_domains"", ""parameters"": {""method"": ""graphst""}}",identify_spatial_domains
spatial_domains,13,identify_spatial_domains,graphst,"{""tool_name"": ""identify_spatial_domains"", ""parameters"": {""method"": ""graphst""}}",identify_spatial_domains
spatial_domains,14,identify_spatial_domains,graphst,"{""tool_name"": ""identify_spatial_domains"", ""parameters"": {""method"": ""graphst""}}",identify_spatial_domains
spatial_domains,15,identify_spatial_domains,graphst,"{""tool_name"": ""identify_spatial_domains"", ""parameters"": {""method"": ""graphst""}}",identify_spatial_domains
spatial_domains,16,identify_spatial_domains,graphst,"{""tool_name"": ""identify_spatial_domains"", ""parameters"": {""method"": ""graphst""}}",identify_spatial_domains
spatial_domains,17,identify_spatial_domains,graphst,"{""tool_name"": ""identify_spatial_domains"", ""parameters"": {""method"": ""graphst""}}",identify_spatial_domains
spatial_domains,18,identify_spatial_domains,graphst,"{""tool_name"": ""identify_spatial_domains"", ""parameters"": {""method"": ""graphst""}}",identify_spatial_domains
spatial_domains,19,identify_spatial_domains,graphst,"{""tool_name"": ""identify_spatial_domains"", ""parameters"": {""method"": ""graphst""}}",identify_spatial_domains
spatial_domains,20,identify_spatial_domains,graphst,"{""tool_name"": ""identify_spatial_domains"", ""parameters"": {""method"": ""graphst""}}",identify_spatial_domains
deconvolution,1,deconvolve_data,,"{""tool_name"": ""deconvolve_data"", ""parameters"": {""reference_data_id"": ""sc_ref_001"", ""cell_type_key"": ""cell_type""}}",deconvolve_data
deconvolution,2,deconvolve_data,,"{""tool_name"": ""deconvolve_data"", ""parameters"": {""reference_data_id"": ""sc_ref_001"", ""cell_type_key"": ""cell_type""}}",deconvolve_data
