condition,model,prompt_id,n_trials,parse_rate,tool_consistency,tool_correctness,pydantic_valid_rate,constrained_param_consistency,free_param_consistency
bare_schema,gpt-5.4,moran_i,10,1.0,1.0,1.0,1.0,1.0,0
bare_schema,gpt-5.4,spatial_domains,10,1.0,1.0,1.0,1.0,1.0,0
bare_schema,gpt-5.4,spatial_plot,10,1.0,1.0,1.0,1.0,0,1.0
bare_schema,gpt-5.4,svg_detection,10,1.0,1.0,1.0,1.0,0,0
bare_schema,gpt-5.4,trajectory,10,1.0,1.0,1.0,1.0,0,0
full_schema,claude-haiku-4-5-20251001,cellchat,10,1.0,1.0,1.0,1.0,1.0,1.0
full_schema,claude-haiku-4-5-20251001,cnv,10,1.0,1.0,1.0,1.0,1.0,1.0
full_schema,claude-haiku-4-5-20251001,deconvolution_rctd,10,1.0,1.0,1.0,1.0,1.0,1.0
full_schema,claude-haiku-4-5-20251001,moran_i,10,1.0,1.0,1.0,1.0,1.0,1.0
full_schema,claude-haiku-4-5-20251001,spatial_domains,10,1.0,1.0,1.0,1.0,1.0,0
full_schema,claude-haiku-4-5-20251001,spatial_plot,10,1.0,1.0,1.0,1.0,1.0,1.0
full_schema,claude-haiku-4-5-20251001,svg_detection,10,1.0,1.0,1.0,1.0,1.0,0
full_schema,claude-haiku-4-5-20251001,trajectory,10,1.0,1.0,1.0,1.0,1.0,0
full_schema,gemini-2.5-flash,cellchat,10,1.0,1.0,1.0,1.0,1.0,1.0
full_schema,gemini-2.5-flash,cnv,10,1.0,1.0,1.0,1.0,0,1.0
full_schema,gemini-2.5-flash,deconvolution_rctd,10,1.0,1.0,1.0,1.0,1.0,1.0
full_schema,gemini-2.5-flash,moran_i,10,0.7,1.0,1.0,0.7,1.0,0
full_schema,gemini-2.5-flash,spatial_domains,10,1.0,1.0,1.0,1.0,1.0,0
full_schema,gemini-2.5-flash,spatial_plot,10,1.0,1.0,1.0,1.0,1.0,1.0
full_schema,gemini-2.5-flash,svg_detection,10,1.0,1.0,1.0,1.0,0,0
full_schema,gemini-2.5-flash,trajectory,10,0.9,1.0,1.0,0.9,1.0,0
full_schema,gpt-5.4,cellchat,10,1.0,1.0,1.0,1.0,1.0,1.0
full_schema,gpt-5.4,cnv,10,1.0,1.0,1.0,1.0,0,1.0
full_schema,gpt-5.4,deconvolution_rctd,10,1.0,1.0,1.0,1.0,1.0,1.0
full_schema,gpt-5.4,moran_i,10,1.0,1.0,1.0,1.0,1.0,0
full_schema,gpt-5.4,spatial_domains,10,1.0,1.0,1.0,1.0,0.9,0
full_schema,gpt-5.4,spatial_plot,10,1.0,1.0,1.0,1.0,0,1.0
full_schema,gpt-5.4,svg_detection,10,1.0,1.0,1.0,1.0,1.0,0
full_schema,gpt-5.4,trajectory,10,1.0,1.0,1.0,1.0,1.0,0
no_schema,claude-haiku-4-5-20251001,cellchat,10,1.0,1.0,1.0,0.8,1.0,1.0
no_schema,claude-haiku-4-5-20251001,cnv,10,1.0,1.0,1.0,0.0,0,0
no_schema,claude-haiku-4-5-20251001,deconvolution_rctd,10,1.0,1.0,1.0,0.0,1.0,1.0
no_schema,claude-haiku-4-5-20251001,moran_i,10,1.0,1.0,1.0,0.0,1.0,0
no_schema,claude-haiku-4-5-20251001,spatial_domains,10,1.0,1.0,1.0,0.0,1.0,0
no_schema,claude-haiku-4-5-20251001,spatial_plot,10,1.0,1.0,1.0,0.0,1.0,0
no_schema,claude-haiku-4-5-20251001,svg_detection,10,1.0,1.0,1.0,0.1,0.667,0
no_schema,claude-haiku-4-5-20251001,trajectory,10,1.0,1.0,1.0,1.0,1.0,0
no_schema,gemini-2.5-flash,cellchat,10,1.0,1.0,1.0,0.0,1.0,1.0
no_schema,gemini-2.5-flash,cnv,10,1.0,1.0,1.0,0.0,0,0
no_schema,gemini-2.5-flash,deconvolution_rctd,10,1.0,1.0,1.0,0.0,1.0,1.0
no_schema,gemini-2.5-flash,moran_i,10,0.5,1.0,1.0,0.0,0,0
no_schema,gemini-2.5-flash,spatial_domains,10,0.9,1.0,1.0,0.0,1.0,0
no_schema,gemini-2.5-flash,spatial_plot,10,0.9,1.0,1.0,0.0,1.0,0
no_schema,gemini-2.5-flash,svg_detection,10,1.0,1.0,1.0,1.0,0,0
no_schema,gemini-2.5-flash,trajectory,10,1.0,1.0,1.0,0.7,1.0,0
no_schema,gpt-5.4,cellchat,10,1.0,1.0,1.0,0.0,1.0,1.0
no_schema,gpt-5.4,cnv,10,1.0,1.0,1.0,0.0,0,0
no_schema,gpt-5.4,deconvolution_rctd,10,1.0,1.0,1.0,0.0,1.0,1.0
no_schema,gpt-5.4,moran_i,10,1.0,1.0,1.0,0.3,0,0
no_schema,gpt-5.4,spatial_domains,10,1.0,1.0,1.0,0.0,1.0,0
no_schema,gpt-5.4,spatial_plot,10,1.0,1.0,1.0,0.0,1.0,0
no_schema,gpt-5.4,svg_detection,10,1.0,1.0,1.0,1.0,0,0
no_schema,gpt-5.4,trajectory,10,1.0,1.0,1.0,0.0,1.0,0
